央视,#genre#
CETV1中教1台,http://192.168.20.4:80/iptv.php?id=cetv1
CETV4中教4台,http://192.168.20.4:80/iptv.php?id=cetv4
CETV早期教育,http://192.168.20.4:80/iptv.php?id=zqjy
CHC系列,#genre#
CHC影迷电影,http://192.168.20.4:80/iptv.php?id=chcgq
CHC动作电影,http://192.168.20.4:80/iptv.php?id=chcdz
CHC家庭影院,http://192.168.20.4:80/iptv.php?id=chcjt
北京,#genre#
北京纪实科教,http://192.168.20.4:80/iptv.php?id=bjjskj
北京卡酷,http://192.168.20.4:80/iptv.php?id=bjkk
中华特产,http://192.168.20.4:80/iptv.php?id=zhtc
生态环境,http://192.168.20.4:80/iptv.php?id=sthj
四海钓鱼,http://192.168.20.4:80/iptv.php?id=shdy
车迷频道,http://192.168.20.4:80/iptv.php?id=cmpd
百姓健康,http://192.168.20.4:80/iptv.php?id=bxjk
环球奇观,http://192.168.20.4:80/iptv.php?id=hqqg
环球旅游,http://192.168.20.4:80/iptv.php?id=hqly
优优宝贝,http://192.168.20.4:80/iptv.php?id=yybb
证券服务,http://192.168.20.4:80/iptv.php?id=zqfw
聚鲨环球精选,http://192.168.20.4:80/iptv.php?id=jshwjx
上海,#genre#
东方财经,http://192.168.20.4:80/iptv.php?id=dfcj
欢笑剧场,http://192.168.20.4:80/iptv.php?id=hxjc
都市剧场,http://192.168.20.4:80/iptv.php?id=dsjc
魅力足球,http://192.168.20.4:80/iptv.php?id=mlxq
动漫秀场,http://192.168.20.4:80/iptv.php?id=dmxc
游戏风云,http://192.168.20.4:80/iptv.php?id=yxfy
生活时尚,http://192.168.20.4:80/iptv.php?id=shss
法治天地,http://192.168.20.4:80/iptv.php?id=fztd
金色学堂,http://192.168.20.4:80/iptv.php?id=jsxt
其他,#genre#
家有购物,http://192.168.20.4:80/iptv.php?id=jygw
新动漫,http://192.168.20.4:80/iptv.php?id=xdm
山东教育,http://192.168.20.4:80/iptv.php?id=sdjy
收藏天下,http://192.168.20.4:80/iptv.php?id=sctx
国学频道,http://192.168.20.4:80/iptv.php?id=gxpd
快乐垂钓,http://192.168.20.4:80/iptv.php?id=klcd
金鹰卡通,http://192.168.20.4:80/iptv.php?id=jykt
先锋乒羽,http://192.168.20.4:80/iptv.php?id=xfpy
风尚购物,http://192.168.20.4:80/iptv.php?id=fsgw
财富天下,http://192.168.20.4:80/iptv.php?id=cftx
天元围棋,http://192.168.20.4:80/iptv.php?id=tywq
摄影频道,http://192.168.20.4:80/iptv.php?id=sypd
求索纪录,http://192.168.20.4:80/iptv.php?id=qsjl


